"","CaseID","nClients","nMH","nClose","ratio"
"555",57816,4,1,2,0.25
"556",57840,6,3,3,0.5
"557",57870,5,2,1,0.4
"558",57887,3,2,2,0.67
"559",57972,4,3,2,0.75
"560",58022,6,2,2,0.33
"561",58040,5,0,2,0
"562",58080,4,2,3,0.5
"563",58092,4,3,2,0.75
"564",58181,5,1,2,0.2
"565",58232,11,4,2,0.36
"566",58245,5,3,3,0.6
"567",58280,7,0,3,0
"568",58291,11,2,3,0.18
"569",58302,3,0,2,0
"570",58339,8,5,2,0.62
"571",58347,7,2,1,0.29
"572",58379,6,4,4,0.67
"573",58381,3,1,2,0.33
"574",58383,7,2,2,0.29
"575",58406,3,2,2,0.67
"576",58427,3,2,2,0.67
"577",58428,7,3,3,0.43
"578",58431,8,4,1,0.5
"579",58447,9,1,2,0.11
"580",58451,4,2,2,0.5
"581",58463,5,3,2,0.6
"582",58492,4,1,2,0.25
"583",58552,8,3,2,0.38
"584",58561,6,3,2,0.5
"585",58583,14,6,3,0.43
"586",58618,6,2,2,0.33
"587",58638,5,3,3,0.6
"588",58643,8,2,2,0.25
"589",58668,3,0,2,0
"590",58697,6,0,1,0
"591",58702,3,2,2,0.67
"592",58704,6,4,2,0.67
"593",58712,7,2,3,0.29
"594",58723,5,4,1,0.8
"595",58734,4,2,2,0.5
"596",58735,6,2,3,0.33
"597",58761,1,0,3,0
"598",58784,8,4,2,0.5
"599",58787,5,0,1,0
"600",58802,4,3,3,0.75
"601",58824,14,5,3,0.36
"602",58844,5,3,2,0.6
"603",58857,8,2,2,0.25
"604",58973,4,0,2,0
"605",58994,6,3,2,0.5
"606",58998,5,3,2,0.6
"607",58999,3,1,2,0.33
"608",59012,5,3,2,0.6
"609",59034,6,2,2,0.33
"610",59036,7,5,2,0.71
"611",59054,5,3,2,0.6
"612",59086,3,1,2,0.33
"613",59093,8,4,2,0.5
"614",59110,3,2,2,0.67
"615",59156,4,3,2,0.75
"616",59162,12,3,2,0.25
"617",59180,5,2,2,0.4
"618",59226,11,3,2,0.27
"619",59233,6,5,2,0.83
"620",59263,8,1,3,0.12
"621",59282,5,1,1,0.2
"622",59384,4,2,2,0.5
"623",59398,5,2,2,0.4
"624",59433,6,2,2,0.33
"625",59457,7,4,3,0.57
"626",59458,8,4,2,0.5
"627",59465,5,0,2,0
"628",59476,9,1,2,0.11
"629",59486,6,4,2,0.67
"630",59512,3,2,2,0.67
"631",59576,5,2,2,0.4
"632",59592,7,4,2,0.57
"633",59605,3,2,2,0.67
"634",59632,3,2,2,0.67
"635",59661,3,2,2,0.67
"636",59663,2,1,2,0.5
"637",59677,4,1,2,0.25
"638",59679,7,3,2,0.43
"639",59693,10,6,1,0.6
"640",59697,8,2,2,0.25
"641",59717,4,2,1,0.5
"642",59722,7,3,2,0.43
"643",59765,5,1,2,0.2
"644",59783,3,1,1,0.33
"645",59798,8,4,2,0.5
"646",59815,7,3,2,0.43
"647",59841,5,2,2,0.4
"648",59855,5,2,2,0.4
"649",59883,4,2,2,0.5
"650",59888,10,4,2,0.4
"651",59899,6,1,2,0.17
"652",59906,10,5,2,0.5
"653",60003,5,1,2,0.2
"654",60033,4,0,2,0
"655",60035,5,3,2,0.6
"656",60064,3,2,2,0.67
"657",60071,4,0,2,0
"658",60083,3,1,2,0.33
"659",60090,5,3,2,0.6
"660",60103,4,3,1,0.75
"661",60111,5,3,2,0.6
"662",60132,3,2,2,0.67
"663",60133,3,1,2,0.33
"664",60166,8,5,2,0.62
"665",60173,5,1,2,0.2
"666",60180,5,2,2,0.4
"667",60205,6,3,2,0.5
"668",60250,4,2,2,0.5
"669",60298,7,3,2,0.43
"670",60334,4,2,2,0.5
"671",60372,5,1,2,0.2
"672",60374,13,9,2,0.69
"673",60380,5,2,2,0.4
"674",60383,5,2,2,0.4
"675",60400,5,0,2,0
"676",60410,11,3,2,0.27
"677",60414,6,2,2,0.33
"678",60416,3,0,2,0
"679",60441,3,1,2,0.33
"680",60456,8,4,2,0.5
"681",60497,7,4,2,0.57
"682",60516,7,5,2,0.71
"683",60533,3,2,2,0.67
"684",60543,6,1,2,0.17
"685",60549,5,2,2,0.4
"686",60604,4,0,2,0
"687",60612,6,2,2,0.33
"688",60633,3,2,2,0.67
"689",60639,12,5,2,0.42
"690",60643,2,0,2,0
"691",60671,4,0,2,0
"692",60680,7,4,2,0.57
"693",60694,4,3,1,0.75
"694",60697,5,1,1,0.2
"695",60699,3,0,1,0
"696",60700,10,3,2,0.3
"697",60701,2,1,1,0.5
"698",60706,5,2,2,0.4
"699",60707,3,0,1,0
"700",60710,7,2,1,0.29
"701",60713,4,3,1,0.75
"702",60715,4,2,1,0.5
"703",60718,6,4,1,0.67
"704",60719,6,0,1,0
"705",60720,10,1,1,0.1
"706",60723,4,2,1,0.5
"707",60729,3,2,1,0.67
"708",60730,4,1,1,0.25
"709",60731,14,7,1,0.5
"710",60735,6,4,1,0.67
"711",60736,5,1,1,0.2
"712",60738,4,0,1,0
"713",60740,3,0,1,0
"714",60741,5,3,1,0.6
"715",60743,5,0,1,0
"716",60744,4,2,1,0.5
"717",60745,4,0,1,0
"718",60747,7,1,1,0.14
"719",60750,6,3,1,0.5
"720",60752,3,2,1,0.67
"721",60753,9,2,1,0.22
"722",60755,2,1,1,0.5
"723",60756,5,1,1,0.2
"724",60760,1,0,1,0
"725",60762,5,2,1,0.4
"726",60764,4,3,1,0.75
"727",60766,4,0,1,0
"728",60767,3,2,1,0.67
"729",60770,4,0,1,0
"730",60771,6,4,1,0.67
"731",60772,4,3,1,0.75
"732",60774,3,0,1,0
"733",60777,4,1,1,0.25
"734",60781,3,1,1,0.33
"735",60782,7,1,1,0.14
"736",60787,2,1,1,0.5
"737",60788,6,2,1,0.33
"738",60789,7,4,1,0.57
"739",60793,7,2,1,0.29
"740",60794,3,1,1,0.33
"741",60799,5,2,1,0.4
"742",60806,3,2,1,0.67
"743",60807,4,0,1,0
"744",60811,3,0,1,0
"745",60814,5,1,1,0.2
"746",60817,8,0,2,0
"747",60818,7,4,1,0.57
"748",60820,5,0,1,0
"749",60821,4,3,1,0.75
"750",60822,4,2,1,0.5
"751",60823,4,1,1,0.25
"752",60825,3,1,1,0.33
"753",60829,4,0,1,0
"754",60836,4,2,1,0.5
"755",60838,3,2,2,0.67
"756",60839,3,2,1,0.67
"757",60841,1,0,1,0
"758",60842,3,1,1,0.33
"759",60843,7,6,1,0.86
"760",60847,5,2,1,0.4
"761",60850,5,3,1,0.6
"762",60852,4,1,1,0.25
"763",60853,3,1,1,0.33
"764",60854,5,1,1,0.2
"765",60856,6,1,1,0.17
"766",60857,5,2,1,0.4
"767",60859,3,0,1,0
"768",60862,4,2,1,0.5
"769",60863,5,1,1,0.2
"770",60864,6,5,2,0.83
"771",60869,4,1,1,0.25
"772",60870,3,2,1,0.67
"773",60871,4,3,1,0.75
"774",60872,5,4,1,0.8
"775",60873,4,3,1,0.75
"776",60874,3,0,1,0
"777",60875,3,0,1,0
"778",60876,5,2,1,0.4
"779",60877,3,0,1,0
"780",60878,3,1,1,0.33
"781",60882,3,1,1,0.33
